comportamento_clean,comportamento_canonico,canonical_behavior_id,comportamento_famiglia_originale,comportamento_famiglia,comportamento_famiglia_v2,comportamento_sottofamiglia_v2,meccanismo_rischio_v2,presidio_v2,severity_rank_v2,taxonomy_source,taxonomy_confidence,comportamento_tipo,row_count_kept,raw_variants_count,raw_variants,canonical_cluster_size,canonical_row_count_total,old_family_conflict,old_families_cluster,merge_source,merge_confidence,merge_note,review_flag
Scarpe antinfortunistiche,Scarpe antinfortunistiche,BEH_SCARPE_ANTINFORTUNISTICHE_B2C1A1,DPI piedi / abbigliamento,DPI / Abbigliamento / Protezione personale,DPI / Abbigliamento / Protezione personale,DPI piedi / calzature,Urto / schiacciamento / scivolamento piede,Uso calzature idonee,2,rule_v2,high,behavior,12600,4,"Il personale esterno al reparto, indossa scarpe antinfortunistiche o puntale | Scarpe Antinfortunistiche | Scarpe antinfortunistiche | Scarpe antinfortunistiche con puntale metal-free",1,12600,no,DPI piedi / abbigliamento,self,self,Nessun alias identificato.,
Area o postazione pulita,Area o postazione pulita,BEH_AREA_O_POSTAZIONE_PULITA_722A95,Ordine / Pulizia / 5S,Ordine / Pulizia / Housekeeping,Ordine / Pulizia / Housekeeping,Postazione / area ordinata e pulita,Inciampo / interferenza / degrado 5S,Housekeeping e 5S,4,rule_v2,high,behavior,12318,8,"L'area di lavoro è pulita | La postazione di lavoro (macchina, carrello o banco) è pulita - Logistica | La postazione di lavoro (macchina, carrello o banco) è pulita - Presse | La postazione di lavoro (macchina, carrello o banco) è pulita - Saldatura | La postazione di lavoro (macchina, carrello o banco) è pulita - Stamperia Metallo | La postazione di lavoro (macchina, carrello o banco) è pulita - Stamperia Plastica - 5 Minuti/Tradizionale | La postazione di lavoro è pulita | Lascia la propria postazione di lavoro (macchina/carrello) pulita e ordinata a ogni spostamento",1,12318,no,Ordine / Pulizia / 5S,self,self,Nessun alias identificato.,
Guarda quello che fa,Guarda quello che fa,BEH_GUARDA_QUELLO_CHE_FA_F00677,Spostamenti / Attenzione,Mezzi / Carrelli / Transpallet / Viabilità,Mezzi / Carrelli / Transpallet / Viabilità,Spostamenti pedonali / attenzione / percorsi,Caduta in piano / urto / investimento,Rispetto percorsi e attenzione negli spostamenti,3,rule_v2,high,behavior,12237,2,Guarda quello che fa | Guarda quello che fà,1,12237,no,Spostamenti / Attenzione,self,self,Nessun alias identificato.,
L'aspirazione è attiva e funzionante,L'aspirazione è accesa e funzionante,BEH_L_ASPIRAZIONE_E_ACCESA_E_FUNZIONANTE_46A880,Chimici / Aspirazione / Lavaggi,Chimici / Aspirazione / Sostanze pericolose,Chimici / Aspirazione / Sostanze pericolose,Aspirazione / cappe / ventilazione,Inalazione polveri / vapori / aerosol,"Aspirazione accesa, vicina e funzionante",1,rule_v2,high,behavior,4685,1,L'aspirazione è attiva e funzionante,7,11871,no,Chimici / Aspirazione / Lavaggi,semantic_rule,high,Accorpa aspirazione accesa/attiva e funzionante con suffissi di reparto.,
L'aspirazione è accesa e funzionante,L'aspirazione è accesa e funzionante,BEH_L_ASPIRAZIONE_E_ACCESA_E_FUNZIONANTE_46A880,Chimici / Aspirazione / Lavaggi,Chimici / Aspirazione / Sostanze pericolose,Chimici / Aspirazione / Sostanze pericolose,Aspirazione / cappe / ventilazione,Inalazione polveri / vapori / aerosol,"Aspirazione accesa, vicina e funzionante",1,rule_v2,high,behavior,3980,1,L'aspirazione è accesa e funzionante,7,11871,no,Chimici / Aspirazione / Lavaggi,semantic_rule,high,Accorpa aspirazione accesa/attiva e funzionante con suffissi di reparto.,
Lavora con aspirazione attiva e funzionante,L'aspirazione è accesa e funzionante,BEH_L_ASPIRAZIONE_E_ACCESA_E_FUNZIONANTE_46A880,Chimici / Aspirazione / Lavaggi,Chimici / Aspirazione / Sostanze pericolose,Chimici / Aspirazione / Sostanze pericolose,Aspirazione / cappe / ventilazione,Inalazione polveri / vapori / aerosol,"Aspirazione accesa, vicina e funzionante",1,rule_v2,high,behavior,967,1,Lavora con aspirazione attiva e funzionante,7,11871,no,Chimici / Aspirazione / Lavaggi,semantic_rule,high,Accorpa aspirazione accesa/attiva e funzionante con suffissi di reparto.,
Lavora con l'aspirazione attiva e funzionante,L'aspirazione è accesa e funzionante,BEH_L_ASPIRAZIONE_E_ACCESA_E_FUNZIONANTE_46A880,Chimici / Aspirazione / Lavaggi,Chimici / Aspirazione / Sostanze pericolose,Chimici / Aspirazione / Sostanze pericolose,Aspirazione / cappe / ventilazione,Inalazione polveri / vapori / aerosol,"Aspirazione accesa, vicina e funzionante",1,rule_v2,high,behavior,910,1,Lavora con l'aspirazione attiva e funzionante,7,11871,no,Chimici / Aspirazione / Lavaggi,semantic_rule,high,Accorpa aspirazione accesa/attiva e funzionante con suffissi di reparto.,
L'aspirazione è accesa e funzionante - Stamperia Plastica - Tradizionale,L'aspirazione è accesa e funzionante,BEH_L_ASPIRAZIONE_E_ACCESA_E_FUNZIONANTE_46A880,Chimici / Aspirazione / Lavaggi,Chimici / Aspirazione / Sostanze pericolose,Chimici / Aspirazione / Sostanze pericolose,Aspirazione / cappe / ventilazione,Inalazione polveri / vapori / aerosol,"Aspirazione accesa, vicina e funzionante",1,rule_v2,high,behavior,695,1,L'aspirazione è accesa e funzionante - Stamperia Plastica - Tradizionale,7,11871,no,Chimici / Aspirazione / Lavaggi,semantic_rule,high,Accorpa aspirazione accesa/attiva e funzionante con suffissi di reparto.,
L'aspirazione è accesa e funzionante - Stamperia Plastica - 5 Minuti,L'aspirazione è accesa e funzionante,BEH_L_ASPIRAZIONE_E_ACCESA_E_FUNZIONANTE_46A880,Chimici / Aspirazione / Lavaggi,Chimici / Aspirazione / Sostanze pericolose,Chimici / Aspirazione / Sostanze pericolose,Aspirazione / cappe / ventilazione,Inalazione polveri / vapori / aerosol,"Aspirazione accesa, vicina e funzionante",1,rule_v2,high,behavior,579,1,L'aspirazione è accesa e funzionante - Stamperia Plastica - 5 Minuti,7,11871,no,Chimici / Aspirazione / Lavaggi,semantic_rule,high,Accorpa aspirazione accesa/attiva e funzionante con suffissi di reparto.,
L'aspirazione è accesa e funzionante - Laser e Controllo,L'aspirazione è accesa e funzionante,BEH_L_ASPIRAZIONE_E_ACCESA_E_FUNZIONANTE_46A880,Chimici / Aspirazione / Lavaggi,Chimici / Aspirazione / Sostanze pericolose,Chimici / Aspirazione / Sostanze pericolose,Aspirazione / cappe / ventilazione,Inalazione polveri / vapori / aerosol,"Aspirazione accesa, vicina e funzionante",1,rule_v2,high,behavior,55,1,L'aspirazione è accesa e funzionante - Laser e Controllo,7,11871,no,Chimici / Aspirazione / Lavaggi,semantic_rule,high,Accorpa aspirazione accesa/attiva e funzionante con suffissi di reparto.,
Guanti protezione meccanica bassa,Guanti protezione meccanica bassa,BEH_GUANTI_PROTEZIONE_MECCANICA_BASSA_D868A7,DPI mani / protezioni,DPI / Abbigliamento / Protezione personale,DPI / Abbigliamento / Protezione personale,DPI mani / guanti,Taglio / abrasione / schiacciamento mani,Uso corretto guanti,2,rule_v2,high,behavior,10133,6,Guanti a protezione meccanica (bassa protezione al taglio) | Guanti spalmati a protezione da taglio bassa | Guanti spalmati a protezione meccanica (bassa protezione al taglio) | Guanti spalmati antitaglio (bassa protezione al taglio) | Guanto a protezione meccanica (bassa protezione al taglio) | Guanto spalmato a protezione da taglio bassa,1,10133,no,DPI mani / protezioni,self,self,Nessun alias identificato.,
Otoprotettori,Otoprotettori,BEH_OTOPROTETTORI_7D7F74,DPI udito,DPI / Abbigliamento / Protezione personale,DPI / Abbigliamento / Protezione personale,DPI udito,Esposizione rumore,Uso corretto otoprotettori,2,rule_v2,high,behavior,9582,2,"Otoprotettori | Otoprotettori (inserti monouso, archetti, inserti lavabili, cuffie)",2,9585,no,DPI udito,semantic_rule,high,Accorpa formulazioni equivalenti degli otoprotettori.,
Usa gli otoprotettori,Otoprotettori,BEH_OTOPROTETTORI_7D7F74,DPI udito,DPI / Abbigliamento / Protezione personale,DPI / Abbigliamento / Protezione personale,DPI udito,Esposizione rumore,Uso corretto otoprotettori,2,rule_v2,high,behavior,3,1,Usa gli otoprotettori,2,9585,no,DPI udito,semantic_rule,high,Accorpa formulazioni equivalenti degli otoprotettori.,
La postazione di lavoro è occupata solo da oggetti utili per l'attività lavorativa in corso,La postazione di lavoro è occupata solo da oggetti utili per l'attività lavorativa in corso,BEH_LA_POSTAZIONE_DI_LAVORO_E_OCCUPATA_SOLO_DA_OGGETTI_UTILI_P_AC7B53,Ordine / Pulizia / 5S,Ordine / Pulizia / Housekeeping,Ordine / Pulizia / Housekeeping,Postazione / area ordinata e pulita,Inciampo / interferenza / degrado 5S,Housekeeping e 5S,4,rule_v2,high,behavior,8385,1,La postazione di lavoro è occupata solo da oggetti utili per l'attività lavorativa in corso,1,8385,no,Ordine / Pulizia / 5S,self,self,Nessun alias identificato.,
Effetti personali riposti in modo da non intralciare il passaggio o creare inciampo,Effetti personali riposti in modo da non intralciare il passaggio o creare inciampo,BEH_EFFETTI_PERSONALI_RIPOSTI_IN_MODO_DA_NON_INTRALCIARE_IL_PA_D98825,Ordine / Pulizia / 5S,Stoccaggio / Materiali / Layout,Stoccaggio / Materiali / Layout,Layout / riposizione materiali,Caduta oggetti / ingombro / interferenza,Materiali riposti in spazi dedicati,3,rule_v2,high,behavior,8220,1,Effetti personali riposti in modo da non intralciare il passaggio o creare inciampo,1,8220,no,Ordine / Pulizia / 5S,self,self,Nessun alias identificato.,
Guarda quello che fa e dove mette le mani,Guarda quello che fa e dove mette le mani,BEH_GUARDA_QUELLO_CHE_FA_E_DOVE_METTE_LE_MANI_900FB8,Spostamenti / Attenzione,Mezzi / Carrelli / Transpallet / Viabilità,Mezzi / Carrelli / Transpallet / Viabilità,Spostamenti pedonali / attenzione / percorsi,Caduta in piano / urto / investimento,Rispetto percorsi e attenzione negli spostamenti,3,rule_v2,high,behavior,8135,1,Guarda quello che fa / Guarda dove mette le mani,1,8135,no,Spostamenti / Attenzione,self,self,Nessun alias identificato.,
Guanti protezione meccanica media/alta,Guanti protezione meccanica media/alta,BEH_GUANTI_PROTEZIONE_MECCANICA_MEDIA_ALTA_F1CAC2,DPI mani / protezioni,DPI / Abbigliamento / Protezione personale,DPI / Abbigliamento / Protezione personale,DPI mani / guanti,Taglio / abrasione / schiacciamento mani,Uso corretto guanti,2,rule_v2,high,behavior,7815,6,Guanti a protezione meccanica (alta protezione al taglio) | Guanti a protezione meccanica (media/alta protezione al taglio) | Guanti a protezione meccanica spalmati in poliuretano (alta protezione al taglio) | Guanti spalmati a protezione da taglio medio/alta | Guanti spalmati antitaglio (media/alta protezione al taglio) | Guanto a protezione meccanica (media/alta protezione al taglio),1,7815,no,DPI mani / protezioni,self,self,Nessun alias identificato.,
Guanti protezione chimica,Guanti protezione chimica,BEH_GUANTI_PROTEZIONE_CHIMICA_C6CEA1,DPI mani / protezioni,DPI / Abbigliamento / Protezione personale,DPI / Abbigliamento / Protezione personale,DPI mani / chimico,Contatto chimico / ustione chimica,Uso corretto guanti chimici,1,rule_v2,high,behavior,7581,34,"Guanti a protezione chimica (manica lunga) | Guanti a protezione chimica (neri manica media protezione AJL per solventi) | Guanti a protezione chimica (verdi manica lunga protezione AKL per corrosivi) | Guanti a protezione chimica (verdi manica lunga spessi protezione AKL per corrosivi) | Guanti a protezione chimica (verdi manica lunga) | Guanti a protezione chimica monouso (polso lungo) | Guanti antitaglio con sopra i guanti in nitrile (azzurro) | Guanti in lattice sopra il guanti in nitrile | Guanti in nitrile | Guanti in nitrile a manica lunga | Guanti in nitrile manica lunga | Guanti in nitrile mezza manica | Guanti in nitrile monouso | Guanti in nitrile monouso polso lungo | Guanti in nitrile spalmati su palmo e dorso | Guanti in nitrile spessi a manica lunga | Guanto a protezione chimica | Guanto antitaglio con sopra guanto in nitrile | Guanto antitaglio con sopra il guanto in nitrile | Guanto in nitrile | Guanto in nitrile a manica lunga | Guanto in nitrile a polso lungo | Guanto in nitrile a protezione da agenti chimici | Guanto in nitrile con guanto antitaglio sotto | Guanto in nitrile manica lunga | Guanto in nitrile manica lunga a protezione da agenti chimici | Guanto in nitrile monouso | Guanto in nitrile monouso a protezione da agenti chimici | Guanto in nitrile monouso polso lungo | Guanto in nitrile monouso, polso lungo | Guanto in nitrile usa e getta | Indossa il guanto in nitrile col guanto antitaglio sotto | Negli incollaggi, indossa guanti in nitrile | Versa le sostanze chimiche sulla pezzuola o sul guanto, senza spruzzarle",1,7581,no,DPI mani / protezioni,self,self,Nessun alias identificato.,
"Carrelli, transpallet, bancali, gabbie sono stoccati in apposita area e/o fuori dai passaggi",Carrelli/transpallet/bancali/gabbie sono stoccati o allineati fuori dai passaggi,BEH_CARRELLI_TRANSPALLET_BANCALI_GABBIE_SONO_STOCCATI_O_ALLINE_532150,Stoccaggio / Materiali,Mezzi / Carrelli / Transpallet / Viabilità,Mezzi / Carrelli / Transpallet / Viabilità,Parcheggio / posizionamento mezzi e contenitori,Ostruzione passaggi / inciampo / interferenza,Stoccaggio e posizionamento fuori passaggio,3,rule_v2,high,behavior,4252,1,"Carrelli, transpallet, bancali, gabbie sono stoccati in apposita area e/o fuori dai passaggi",6,7359,no,Stoccaggio / Materiali,semantic_rule,high,Accorpa stoccaggio/allineamento mezzi e contenitori fuori dai passaggi.,
"Carrelli, transpallet, bancali, gabbie sono stoccati fuori dai passaggi",Carrelli/transpallet/bancali/gabbie sono stoccati o allineati fuori dai passaggi,BEH_CARRELLI_TRANSPALLET_BANCALI_GABBIE_SONO_STOCCATI_O_ALLINE_532150,Stoccaggio / Materiali,Mezzi / Carrelli / Transpallet / Viabilità,Mezzi / Carrelli / Transpallet / Viabilità,Parcheggio / posizionamento mezzi e contenitori,Ostruzione passaggi / inciampo / interferenza,Stoccaggio e posizionamento fuori passaggio,3,rule_v2,high,behavior,1806,1,"Carrelli, transpallet, bancali, gabbie sono stoccati fuori dai passaggi",6,7359,no,Stoccaggio / Materiali,semantic_rule,high,Accorpa stoccaggio/allineamento mezzi e contenitori fuori dai passaggi.,
"Carrelli, transpallet, bancali, sono stoccati in apposita area e/o fuori dai passaggi",Carrelli/transpallet/bancali/gabbie sono stoccati o allineati fuori dai passaggi,BEH_CARRELLI_TRANSPALLET_BANCALI_GABBIE_SONO_STOCCATI_O_ALLINE_532150,Stoccaggio / Materiali,Mezzi / Carrelli / Transpallet / Viabilità,Mezzi / Carrelli / Transpallet / Viabilità,Parcheggio / posizionamento mezzi e contenitori,Ostruzione passaggi / inciampo / interferenza,Stoccaggio e posizionamento fuori passaggio,3,rule_v2,high,behavior,852,1,"Carrelli, transpallet, bancali, sono stoccati in apposita area e/o fuori dai passaggi",6,7359,no,Stoccaggio / Materiali,semantic_rule,high,Accorpa stoccaggio/allineamento mezzi e contenitori fuori dai passaggi.,
"Carrelli, transpallet e bancali sono stoccati fuori dai passaggi",Carrelli/transpallet/bancali/gabbie sono stoccati o allineati fuori dai passaggi,BEH_CARRELLI_TRANSPALLET_BANCALI_GABBIE_SONO_STOCCATI_O_ALLINE_532150,Stoccaggio / Materiali,Mezzi / Carrelli / Transpallet / Viabilità,Mezzi / Carrelli / Transpallet / Viabilità,Parcheggio / posizionamento mezzi e contenitori,Ostruzione passaggi / inciampo / interferenza,Stoccaggio e posizionamento fuori passaggio,3,rule_v2,high,behavior,230,1,"Carrelli, transpallet e bancali sono stoccati fuori dai passaggi",6,7359,no,Stoccaggio / Materiali,semantic_rule,high,Accorpa stoccaggio/allineamento mezzi e contenitori fuori dai passaggi.,
"Carrelli, transpallet, bancali, motoscopa sono stoccati in apposita area e/o fuori dai passaggi",Carrelli/transpallet/bancali/gabbie sono stoccati o allineati fuori dai passaggi,BEH_CARRELLI_TRANSPALLET_BANCALI_GABBIE_SONO_STOCCATI_O_ALLINE_532150,Stoccaggio / Materiali,Mezzi / Carrelli / Transpallet / Viabilità,Mezzi / Carrelli / Transpallet / Viabilità,Parcheggio / posizionamento mezzi e contenitori,Ostruzione passaggi / inciampo / interferenza,Stoccaggio e posizionamento fuori passaggio,3,rule_v2,high,behavior,149,1,"Carrelli, transpallet, bancali, motoscopa sono stoccati in apposita area e/o fuori dai passaggi",6,7359,no,Stoccaggio / Materiali,semantic_rule,high,Accorpa stoccaggio/allineamento mezzi e contenitori fuori dai passaggi.,
"Carrelli, transpallet, gabbie sono stoccati in apposita area e/o allineati e fuori dai passaggi",Carrelli/transpallet/bancali/gabbie sono stoccati o allineati fuori dai passaggi,BEH_CARRELLI_TRANSPALLET_BANCALI_GABBIE_SONO_STOCCATI_O_ALLINE_532150,Stoccaggio / Materiali,Mezzi / Carrelli / Transpallet / Viabilità,Mezzi / Carrelli / Transpallet / Viabilità,Parcheggio / posizionamento mezzi e contenitori,Ostruzione passaggi / inciampo / interferenza,Stoccaggio e posizionamento fuori passaggio,3,rule_v2,high,behavior,70,1,"Carrelli, transpallet, gabbie sono stoccati in apposita area e/o allineati e fuori dai passaggi",6,7359,no,Stoccaggio / Materiali,semantic_rule,high,Accorpa stoccaggio/allineamento mezzi e contenitori fuori dai passaggi.,
Rifiuti nei contenitori,Rifiuti nei contenitori,BEH_RIFIUTI_NEI_CONTENITORI_79C07C,Ordine / Pulizia / 5S,Ordine / Pulizia / Housekeeping,Ordine / Pulizia / Housekeeping,Rifiuti / trucioli / sfridi / contenitori,Inciampo / taglio / contaminazione area,Raccolta e contenimento rifiuti/sfridi,3,rule_v2,high,behavior,7067,3,I contenitori dei rifiuti sono etichettati | I rifiuti sono differenziati nei contenitori | I rifiuti sono differenziati nei contenitori (anche in area break),1,7067,no,Ordine / Pulizia / 5S,self,self,Nessun alias identificato.,
I materiali sugli scaffali/tavoli sono stabili e distribuiti all'interno del perimetro degli stessi,I materiali sugli scaffali/tavoli sono stabili e distribuiti all'interno del perimetro degli stessi,BEH_I_MATERIALI_SUGLI_SCAFFALI_TAVOLI_SONO_STABILI_E_DISTRIBUI_F4FEFE,Stoccaggio / Materiali,Stoccaggio / Materiali / Layout,Stoccaggio / Materiali / Layout,Impilamento / stabilità / perimetro,Caduta materiale / urto / schiacciamento,Stoccaggio stabile e entro perimetro,2,rule_v2,high,behavior,6763,1,I materiali sugli scaffali/tavoli sono stabili e distribuiti all'interno del perimetro degli stessi,1,6763,no,Stoccaggio / Materiali,self,self,Nessun alias identificato.,
Cammina senza correre,Cammina senza correre,BEH_CAMMINA_SENZA_CORRERE_A71BA3,Spostamenti / Attenzione,Mezzi / Carrelli / Transpallet / Viabilità,Mezzi / Carrelli / Transpallet / Viabilità,Spostamenti pedonali / attenzione / percorsi,Caduta in piano / urto / investimento,Rispetto percorsi e attenzione negli spostamenti,3,rule_v2,high,behavior,6658,4,"Cammina lentamente, senza correre | Cammina senza correre | Cammina, non corre | Il personale esterno al reparto, cammina, non corre",1,6658,no,Spostamenti / Attenzione,self,self,Nessun alias identificato.,
Guarda dove va,Guarda dove va,BEH_GUARDA_DOVE_VA_785C7F,Spostamenti / Attenzione,Mezzi / Carrelli / Transpallet / Viabilità,Mezzi / Carrelli / Transpallet / Viabilità,Spostamenti pedonali / attenzione / percorsi,Caduta in piano / urto / investimento,Rispetto percorsi e attenzione negli spostamenti,3,rule_v2,high,behavior,6395,1,Guarda dove va,1,6395,no,Spostamenti / Attenzione,self,self,Nessun alias identificato.,
